episode_score,best_tile_score
8548,512
6400,512
3240,256
4028,256
736,64
5332,512
6984,512
2640,256
5636,512
2988,256
4184,256
5308,512
6872,512
5664,512
3060,256
6404,512
5264,512
2276,256
5300,512
3200,256
3468,256
2996,256
2468,256
3084,256
5436,512
3332,256
3352,256
3168,256
1944,128
3204,256
3244,256
6536,512
3148,256
6484,512
5428,512
2288,256
3296,256
3164,256
2112,128
6900,512
5428,512
7136,512
3140,256
3176,256
3148,256
3296,256
6872,512
3188,256
5360,512
4420,256
2056,128
4616,512
1592,128
3512,256
7072,512
1992,128
2988,256
600,64
2864,256
2748,256
3040,256
4444,256
3124,256
5420,512
2360,256
3144,256
1156,128
1348,128
6952,512
3156,256
5480,512
5368,512
5564,512
5196,512
7416,512
3256,256
3900,256
6164,512
9980,1024
2628,256
4376,256
3192,256
5048,512
7080,512
5616,512
2956,256
5404,512
3060,256
3432,256
4632,512
3096,256
5292,512
3212,256
4996,512
3368,256
2948,256
4496,256
3276,256
6460,512
3108,256
3480,256
2488,256
5356,512
1412,128
6368,512
3768,256
2096,128
7048,512
5416,512
2944,256
3144,256
3176,256
5292,512
5388,512
2336,256
5392,512
3204,256
7172,512
5516,512
4308,256
6036,512
3096,256
3224,256
5388,512
6324,512
1632,128
4860,512
6120,512
5540,512
2960,256
6392,512
7084,512
3072,256
5760,512
3284,256
2944,256
4920,256
3308,256
3280,256
2296,256
4620,256
2944,256
2944,256
5380,512
2828,256
3180,256
5472,512
1596,128
6616,512
6948,512
1568,128
2832,256
5380,512
3104,256
2264,128
5424,512
6632,512
3404,256
3056,256
5464,512
3132,256
2488,256
2124,128
5344,512
6292,512
3076,256
6120,512
3304,256
6248,512
3124,256
5480,512
4792,256
6948,512
6508,512
4520,512
3048,256
4772,256
3324,256
2744,256
5444,512
4876,512
3020,256
3224,256
6116,512
5400,512
3092,256
6864,512
2356,256
6652,512
6980,512
3008,256
3144,256
5404,512
6784,512
6392,512
6512,512
4084,256
6640,512
2492,256
3356,256
3296,256
6516,512
5184,512
2672,256
3932,256
5208,512
2896,256
3140,256
2552,256
5388,512
1364,128
6852,512
11360,1024
2704,256
3096,256
4200,256
3036,256
2352,256
724,64
6372,512
3104,256
3000,256
1340,128
3076,256
1516,128
2328,256
3904,256
5228,512
4880,512
2412,256
5776,512
5364,512
5316,512
3060,256
3084,256
3260,256
7008,512
6696,512
4572,512
3072,256
5752,512
3120,256
3204,256
3180,256
3052,256
4084,256
7008,512
6344,512
3328,256
6920,512
5516,512
6572,512
3432,256
3240,256
3060,256
10324,1024
5132,512
1280,128
6896,512
3084,256
3248,256
3344,256
4744,512
5532,512
4748,512
5292,512
1812,128
3244,256
3132,256
1316,128
6156,512
2992,256
3360,256
5508,512
6344,512
3112,256
12036,1024
2772,256
1700,128
3100,256
1620,128
3072,256
5500,512
2508,256
5972,512
6556,512
3216,256
1320,128
4684,256
3180,256
2628,256
5160,512
2464,256
7016,512
6936,512
7204,512
5400,512
5380,512
5032,512
7180,512
