episode_score,best_tile_score
15920,1024
7436,512
14368,1024
6128,512
7184,512
12412,1024
12896,1024
5444,512
14680,1024
5616,512
7176,512
4112,256
8356,512
10908,1024
7316,512
14072,1024
11024,1024
12500,1024
7060,512
9668,512
16064,1024
6280,512
13396,1024
7252,512
12340,1024
15676,1024
7160,512
7104,512
10580,1024
5412,512
22664,2048
4176,256
7232,512
8668,512
5516,512
4588,512
4528,256
15504,1024
7204,512
8704,512
3296,256
10512,1024
6892,512
3372,256
5424,512
3232,256
7680,512
11240,1024
11416,1024
6896,512
10312,1024
7472,512
5412,512
16352,1024
14468,1024
16320,1024
12400,1024
7456,512
5548,512
8480,512
11116,1024
6364,512
7480,512
3964,256
5732,512
7048,512
11148,512
6956,512
7376,512
10776,1024
3900,256
7344,512
3620,256
6088,512
7608,512
10136,1024
16020,1024
6108,512
7896,512
7300,512
7016,512
8920,512
11808,1024
7380,512
7644,512
6468,512
16644,1024
8568,512
8136,512
12508,1024
10460,1024
16464,1024
8940,512
7656,512
3360,256
7292,512
29756,2048
14872,1024
7184,512
12112,1024
16228,1024
13980,1024
11844,1024
16140,1024
3996,256
5344,512
6280,512
15484,1024
12124,1024
6324,512
8860,512
13180,1024
8176,512
17480,1024
5336,512
9296,512
6336,512
13100,1024
11388,1024
12500,1024
3364,256
11624,1024
7560,512
8588,512
15872,1024
11440,1024
6428,512
1352,128
11496,1024
10388,1024
25472,2048
7540,512
8348,512
7044,512
4012,256
7708,512
7332,512
7340,512
11688,1024
9288,512
14260,1024
8764,512
3436,256
10084,1024
892,64
16144,1024
8812,512
5456,512
7212,512
7484,512
7124,512
7436,512
14600,1024
8412,512
10684,1024
3892,256
10420,512
8060,512
12720,1024
6744,512
6332,512
11188,1024
16100,1024
14120,1024
6236,512
14196,1024
7948,512
12396,1024
16160,1024
11752,1024
7112,512
10680,1024
3008,256
7424,512
12096,1024
12300,1024
6912,512
15468,1024
8496,512
5744,512
7800,512
12144,1024
11020,1024
7324,512
12252,1024
7428,512
8692,512
8928,512
8948,512
12620,1024
7308,512
8700,512
528,64
15200,1024
7096,512
1316,128
11424,1024
8652,512
12132,1024
16616,1024
15564,1024
14580,1024
12744,1024
8180,512
3168,256
15336,1024
8868,512
14084,1024
5572,512
15084,1024
6892,512
12180,1024
12036,1024
15848,1024
11084,512
4072,256
2876,256
8836,512
16140,1024
10848,1024
10632,1024
12084,1024
12272,1024
12516,1024
14900,1024
6640,512
15132,1024
11560,1024
17240,1024
12388,1024
2864,256
3860,256
7200,512
18032,1024
7256,512
8108,512
7540,512
6996,512
7388,512
5600,512
6732,512
3932,256
12924,1024
15324,1024
1696,128
10368,1024
13916,1024
8168,512
5296,512
7204,512
7336,512
12080,1024
15544,1024
16008,1024
7312,512
3444,256
26732,2048
12372,1024
7140,512
3328,256
3788,256
12020,1024
14620,1024
12688,1024
16476,1024
7772,512
12304,1024
12360,1024
7176,512
15116,1024
16016,1024
4184,256
8880,512
12336,1024
6740,512
12036,1024
7208,512
7744,512
3316,256
11692,1024
6248,512
10660,1024
6260,512
16080,1024
7948,512
15028,1024
11908,1024
10940,512
6128,512
5556,512
6252,512
10976,1024
7316,512
6892,512
8868,512
6964,512
14512,1024
11776,1024
6036,512
11120,1024
