episode_score,best_tile_score
4748,512
16012,1024
7000,512
3540,256
6764,512
14148,1024
19348,1024
15992,1024
10508,1024
7140,512
10004,1024
2856,256
15980,1024
5236,512
12092,1024
14328,1024
7540,512
16068,1024
23452,2048
14044,1024
3360,256
7432,512
16068,1024
7536,512
8872,512
6324,512
13108,1024
8656,512
7704,512
19796,1024
5696,512
10548,1024
5580,512
25780,2048
7144,512
6024,512
12704,1024
12300,1024
12924,1024
6832,512
21528,2048
7492,512
3172,256
17512,1024
16340,1024
20700,2048
7184,512
7064,512
10680,1024
7832,512
3984,256
16144,1024
12704,1024
4968,256
7176,512
7364,512
7520,512
5376,512
14012,1024
12252,1024
12156,1024
3380,256
7488,512
5612,512
14340,1024
7084,512
5760,512
5296,512
10764,1024
13076,1024
8060,512
7244,512
14248,1024
7168,512
11356,1024
6864,512
12060,1024
3252,256
13440,1024
14884,1024
4780,512
10668,1024
8084,512
12168,1024
13948,1024
3352,256
7016,512
308,32
7564,512
6512,512
7328,512
4028,256
7484,512
3328,256
10188,1024
15000,1024
14332,1024
5316,512
14444,1024
3184,256
11080,1024
14484,1024
13676,1024
7080,512
17048,1024
5628,512
26444,2048
7104,512
5132,512
11780,1024
3548,256
12160,1024
6932,512
16168,1024
10940,1024
7976,512
15644,1024
14280,1024
25016,2048
17184,1024
13432,1024
14372,1024
18744,1024
15920,1024
16260,1024
5776,512
6900,512
16968,1024
30600,2048
25664,2048
12564,1024
5764,512
7816,512
2956,256
26348,2048
12296,1024
12040,1024
8616,512
5668,512
11680,1024
8088,512
5528,512
16164,1024
13964,1024
14772,1024
10480,1024
3892,256
7304,512
16472,1024
9408,1024
8036,512
12384,1024
7100,512
6416,512
3860,256
10016,1024
13584,1024
13604,1024
7428,512
10424,1024
12032,1024
9248,512
15336,1024
8192,512
13668,1024
6756,512
8152,512
6336,512
11852,1024
11208,1024
14624,1024
15264,1024
8548,512
4996,512
7788,512
6404,512
22364,2048
1640,128
3232,256
7008,512
12600,1024
16488,1024
12772,1024
5564,512
4944,512
17036,1024
17588,1024
7264,512
7240,512
10160,1024
3016,256
7748,512
1632,128
19856,1024
7432,512
15872,1024
8080,512
3164,256
10412,1024
12572,1024
1364,128
7488,512
17128,1024
4692,512
5776,512
10508,1024
7468,512
16116,1024
3224,256
6152,512
8948,512
17716,1024
7488,512
12392,1024
2848,256
11504,1024
11712,1024
3256,256
16092,1024
3324,256
15084,1024
7368,512
7440,512
17160,1024
13868,1024
12096,1024
12160,1024
15144,1024
11756,1024
7456,512
21088,1024
752,64
1488,128
7404,512
7192,512
12936,1024
7092,512
13752,1024
27180,2048
10964,1024
14540,1024
14508,1024
14584,1024
8436,512
2216,128
16648,1024
16748,1024
7508,512
21644,2048
15252,1024
4816,512
8592,512
15920,1024
576,64
15432,1024
15480,1024
25092,2048
14660,1024
16500,1024
12780,1024
25260,2048
14572,1024
6868,512
12264,1024
7868,512
11392,1024
6772,512
23508,2048
25552,2048
14832,1024
7000,512
5760,512
8140,512
8044,512
6292,512
6396,512
6160,512
5580,512
15884,1024
13132,1024
7572,512
2916,256
2456,256
23716,2048
15632,1024
7528,512
7012,512
8628,512
16212,1024
7424,512
5424,512
10376,1024
13368,1024
2736,256
10464,1024
1356,128
12244,1024
14436,1024
1596,128
13968,1024
