episode_score,best_tile_score
3444,256
5492,512
6060,512
2760,256
6248,512
2972,256
10028,1024
3168,256
7168,512
3272,256
2952,256
5464,512
3144,256
2960,256
2872,256
3096,256
5676,512
7020,512
3420,256
7072,512
5072,512
1664,128
2904,256
3752,256
2968,256
3068,256
4564,512
1380,128
3232,256
7336,512
2740,256
5288,512
2988,256
3060,256
2216,256
3100,256
5332,512
3196,256
1724,128
2304,256
3852,256
2052,128
6664,512
5952,512
6672,512
2844,256
3280,256
1432,128
4824,512
3388,256
3452,256
7076,512
3056,256
4976,512
2544,256
3352,256
1736,128
3196,256
3172,256
3088,256
3620,256
3824,256
6764,512
6952,512
2996,256
1548,128
5208,512
1328,128
3092,256
1704,128
2140,256
3112,256
3680,256
5464,512
2644,256
6368,512
6356,512
2088,128
3020,256
6240,512
6148,512
3032,256
5316,512
3056,256
5008,512
1684,128
2688,256
2444,256
2040,128
3496,256
3332,256
2976,256
3820,256
3072,256
3204,256
1440,128
3016,256
3196,256
3316,256
2096,256
3536,256
5596,512
3200,256
4540,512
2780,256
2636,256
5356,512
2004,128
3136,256
2868,256
3216,256
3148,256
1764,128
1680,128
4836,256
3472,256
904,64
5248,512
2056,256
1340,128
3368,256
7020,512
4704,512
1680,128
2160,128
5728,512
2200,128
6336,512
6488,512
5352,512
5280,512
5804,512
2636,256
3544,256
3016,256
5264,512
3772,256
6976,512
4004,256
1552,128
2992,256
6500,512
2432,256
6496,512
4820,256
6128,512
1480,128
5596,512
1736,128
5408,512
6316,512
3124,256
5708,512
1320,128
6680,512
1300,128
3116,256
6804,512
3152,256
5800,512
1396,128
3852,256
3160,256
6832,512
3380,256
7012,512
6180,512
6468,512
5400,512
3272,256
2460,256
2972,256
1384,128
2828,256
5120,512
3116,256
5816,512
6140,512
2956,256
2492,256
3144,256
3392,256
1740,128
1332,128
2200,256
2168,128
3268,256
3820,256
576,64
2736,256
2324,128
3368,256
5840,512
3168,256
5476,512
3720,256
2404,256
4224,256
5556,512
2960,256
2668,256
7044,512
5252,512
6028,512
6316,512
3112,256
6560,512
748,64
2992,256
1116,128
2176,128
3400,256
3120,256
2468,256
3092,256
3292,256
2632,256
3624,256
5228,512
3492,256
5124,512
2008,128
3396,256
1764,128
2824,256
2052,128
3580,256
3200,256
6468,512
5636,512
5352,512
5032,512
3108,256
4788,256
5768,512
1428,128
3072,256
5808,512
3100,256
3152,256
6256,512
6820,512
3004,256
3348,256
3724,256
3252,256
3344,256
2392,256
3400,256
7344,512
2912,256
6420,512
6820,512
2524,256
2712,256
6568,512
3020,256
6360,512
4504,256
7116,512
6360,512
2652,256
3348,256
1172,128
3188,256
6940,512
3132,256
1368,128
4196,256
2568,256
5456,512
5996,512
5712,512
2440,256
6452,512
3248,256
5376,256
1480,128
3080,256
6284,512
5212,512
1572,128
4408,512
6356,512
5576,512
6272,512
7064,512
6736,512
3004,256
3316,256
2820,256
5140,512
3504,256
2388,256
6424,512
1604,128
5088,512
3324,256
2240,128
4680,512
