episode_score,best_tile_score
2496,256
2784,256
1756,128
1328,128
7000,512
3188,256
1716,128
2980,256
6456,512
3124,256
4172,256
4260,256
2284,256
4092,256
828,64
1440,128
3436,256
1472,128
3796,256
3060,256
1008,128
1808,128
4096,256
3028,256
4228,256
3220,256
2020,128
820,64
1944,128
1996,128
2428,256
3220,256
1524,128
2080,128
936,64
788,64
4664,256
7196,512
2848,256
1368,128
836,64
4488,512
2148,128
1020,64
1844,128
3268,256
5216,512
1800,128
2068,128
292,32
1428,128
1184,128
2120,128
2880,256
5452,512
2804,256
3720,256
5184,512
1712,128
4436,256
10500,1024
1140,64
2608,256
1232,128
4316,256
6220,512
1556,128
3580,256
4564,512
5236,512
1924,128
3556,256
3604,256
3684,256
2448,256
1896,128
2980,256
916,64
3128,256
3000,256
3120,256
1364,128
2464,256
3188,256
4028,256
2328,256
3176,256
2792,256
1456,128
3236,256
4852,512
2872,256
3692,256
2444,256
6372,512
6644,512
6312,512
816,64
1740,128
3312,256
1520,128
5092,512
880,64
1208,128
1268,128
2520,256
4848,256
1552,128
1796,128
6484,512
2272,256
2852,256
1604,128
2956,256
856,64
3372,256
1648,128
676,64
3616,256
588,64
2496,256
6772,512
1920,128
3860,256
3076,256
2632,256
2548,256
3528,256
5716,256
3040,256
3448,256
6156,512
6068,512
3124,256
2904,256
3416,256
3368,256
3164,256
2980,256
4696,512
6480,512
2092,128
5428,512
1796,128
1260,128
2068,128
3140,256
3976,256
3344,256
5816,512
1760,128
3400,256
3292,256
3292,256
3252,256
5468,512
2988,256
4316,512
3204,256
3936,256
3812,256
1556,128
3244,256
5412,512
2892,256
3944,256
5404,512
1392,128
3068,256
3264,256
5720,512
2652,256
3852,256
2508,256
1448,128
5272,512
2792,256
1808,128
2892,256
2968,256
5424,512
3576,256
5504,512
5920,512
1672,128
3312,256
864,64
5892,512
660,64
5308,512
2576,256
11232,1024
1016,128
5240,512
2816,256
2624,256
1348,128
2536,256
2444,256
3096,256
1564,128
1760,128
2740,256
1772,128
5056,512
2376,256
4000,256
3764,256
5884,512
5824,512
10772,1024
3484,256
2568,256
4732,512
3212,256
5036,512
4152,256
3052,256
1008,128
3808,256
2204,128
2016,128
3524,256
4092,256
3344,256
7016,512
1748,128
3916,256
3972,256
6088,512
2352,256
2248,256
2672,256
2044,128
2964,256
5480,512
3176,256
1732,128
2212,128
3424,256
5724,512
1576,128
7396,512
1400,128
5624,512
1552,128
2496,256
6852,512
3180,256
5972,512
2788,256
908,64
2472,256
3436,256
3408,256
7084,512
2464,256
2668,256
3400,256
3488,256
2996,256
1772,128
2784,256
1868,128
2552,256
788,64
2304,128
2588,256
2652,256
1836,128
1192,128
5280,512
1224,64
7148,512
2980,256
6024,512
3412,256
2964,256
1988,128
4144,256
5600,512
1856,128
3332,256
3400,256
5000,512
1744,128
1588,128
3028,256
4696,512
2892,256
1592,128
1992,128
668,64
2988,256
3640,256
3036,256
1352,128
2496,256
2104,128
2396,256
