episode_score,best_tile_score
6228,512
21108,2048
16460,1024
22960,2048
7780,512
16460,1024
10888,1024
10252,1024
16092,1024
5180,256
5988,512
16064,1024
12336,1024
11908,1024
11136,1024
1376,128
7764,512
15004,1024
2144,128
7152,512
348,32
6928,512
3776,256
12572,1024
3456,256
16164,1024
11160,1024
5712,512
4916,512
8100,512
3140,256
6816,512
7336,512
5632,512
4892,256
7544,512
8200,512
5408,512
6220,512
7036,512
7516,512
12064,1024
7008,512
6200,512
3264,256
7588,512
6212,512
13440,1024
15268,1024
14252,1024
7940,512
15824,1024
7084,512
7144,512
12296,1024
17836,1024
5444,512
16268,1024
7164,512
7276,512
6048,512
6388,512
6724,512
12380,1024
7176,512
15640,1024
6628,512
2632,256
10532,1024
15788,1024
6144,512
8676,512
10536,1024
16080,1024
9724,1024
2452,256
5120,512
4344,512
14996,1024
16040,1024
7072,512
24828,2048
12240,1024
14116,1024
8080,512
6756,512
2924,256
10596,1024
15308,1024
3504,256
19772,1024
5340,512
15476,1024
7416,512
10984,1024
13892,1024
6444,512
25748,2048
15436,1024
656,64
2888,256
16624,1024
10048,1024
14088,1024
11204,512
16260,1024
10596,1024
13768,1024
7016,512
27008,2048
14256,1024
12172,1024
6780,512
6984,512
14432,1024
7928,512
3228,256
14400,1024
3476,256
7352,512
13624,1024
7520,512
14288,1024
7508,512
1312,128
14544,1024
5100,512
9548,512
11976,1024
7084,512
14452,1024
17388,1024
14340,1024
11412,1024
13892,1024
7432,512
6340,512
14384,1024
8076,512
7148,512
12632,1024
15396,1024
12384,1024
13604,1024
7092,512
15352,1024
7056,512
7844,512
10344,1024
1636,128
1440,128
7724,512
7412,512
7140,512
7356,512
6456,512
2868,256
7956,512
11744,1024
11936,1024
4780,256
12224,1024
7040,512
2096,256
6808,512
6476,512
5080,512
12976,1024
7040,512
8260,512
7248,512
5712,512
6480,512
15628,1024
6656,512
7464,512
12264,1024
11932,1024
1568,128
6276,512
4644,512
2720,256
14568,1024
7008,512
16268,1024
6236,512
12648,1024
6952,512
13312,1024
7192,512
6892,512
5552,512
16216,1024
16160,1024
6920,512
7288,512
12572,1024
15728,1024
4464,256
16028,1024
7280,512
16320,1024
14448,1024
13836,1024
12648,1024
16036,1024
22916,2048
15760,1024
10136,1024
6724,512
4828,512
7128,512
7252,512
7576,512
12312,1024
5528,512
11532,1024
10612,1024
12056,1024
13820,1024
13672,1024
8100,512
4820,256
11936,1024
10988,512
16404,1024
26728,2048
10848,1024
13904,1024
6532,512
7636,512
8708,512
6852,512
2120,256
6252,512
10188,1024
7368,512
23232,2048
15060,1024
7228,512
12440,1024
8788,512
5100,512
14640,1024
6124,512
26532,2048
7300,512
8296,512
10572,1024
4960,512
3280,256
8088,512
22892,2048
14652,1024
14336,1024
11500,1024
4648,512
7076,512
14044,1024
4596,512
9736,1024
14608,1024
15604,1024
6620,512
11748,1024
7224,512
9836,1024
12508,1024
10756,1024
5384,512
2236,256
11892,1024
12140,1024
14584,1024
7372,512
7072,512
6348,512
7332,512
13712,1024
3132,256
11556,1024
7052,512
8000,512
5452,512
7168,512
280,32
27912,2048
16328,1024
11964,1024
11588,1024
14712,1024
6840,512
10156,1024
16028,1024
7008,512
6844,512
3824,256
16796,1024
7088,512
10380,1024
