episode_score,best_tile_score
9612,512
10304,1024
16680,1024
14448,1024
21712,2048
14472,1024
5560,512
14456,1024
9604,1024
12444,1024
10632,1024
5700,512
19692,1024
12612,1024
7292,512
13804,1024
9208,512
7764,512
16640,1024
15904,1024
15748,1024
9972,1024
12236,1024
15220,1024
11456,1024
15168,1024
3148,256
16288,1024
5360,512
11332,1024
5496,512
14280,1024
6872,512
13600,1024
14496,1024
15876,1024
2868,256
4676,512
7068,512
11564,1024
14288,1024
21168,2048
6408,512
15476,1024
4328,256
14728,1024
16976,1024
3468,256
14416,1024
12200,1024
15156,1024
11208,1024
11848,1024
11468,1024
6956,512
11956,1024
16028,1024
10024,1024
11748,1024
15672,1024
6084,512
4916,256
6352,512
5432,512
8028,512
13732,1024
6372,512
24156,2048
16132,1024
16020,1024
16008,1024
11776,1024
1656,128
16120,1024
16340,1024
15304,1024
5232,512
15388,1024
11912,1024
3236,256
3328,256
11636,1024
6916,512
16140,1024
5132,512
7656,512
1120,128
5480,512
7232,512
21400,2048
14352,1024
16208,1024
4908,512
15844,1024
15764,1024
12044,1024
2756,256
2016,256
14468,1024
16356,1024
12976,1024
5436,512
17536,1024
16112,1024
16464,1024
15484,1024
11032,1024
16368,1024
3348,256
11576,1024
7008,512
14156,1024
11444,1024
17572,1024
10408,1024
3112,256
4740,512
11556,1024
4704,512
15816,1024
16108,1024
16160,1024
7476,512
16104,1024
15444,1024
22504,2048
1492,128
10292,1024
11340,1024
14680,1024
14264,1024
2444,256
12204,1024
14504,1024
1796,128
12964,1024
14404,1024
14500,1024
11732,1024
15300,1024
9996,1024
9068,512
2452,256
6828,512
11384,1024
15392,1024
13492,1024
7600,512
1528,128
16932,1024
2524,256
12152,1024
14564,1024
7180,512
16384,1024
2496,256
10292,1024
12120,1024
6416,512
22356,2048
15440,1024
12096,1024
7476,512
14240,1024
12320,1024
10696,1024
16052,1024
2864,256
23264,2048
14512,1024
13132,1024
26232,2048
6972,512
3140,256
14600,1024
16156,1024
16660,1024
12196,1024
24660,2048
15960,1024
15360,1024
16424,1024
15864,1024
12296,1024
7392,512
5320,512
15596,1024
12388,1024
16056,1024
3936,256
10828,1024
16716,1024
5384,512
12540,1024
6416,512
16288,1024
3064,256
21856,2048
16104,1024
6404,512
3012,256
7504,512
1332,128
7456,512
15636,1024
7100,512
11884,1024
11184,1024
1044,128
16032,1024
27228,2048
24048,2048
9764,512
7152,512
14296,1024
15640,1024
7108,512
10516,1024
14364,1024
14392,1024
7176,512
12396,1024
17408,1024
7176,512
14304,1024
7200,512
5644,512
11440,1024
14332,1024
11152,1024
9756,1024
3324,256
9752,512
21764,2048
16168,1024
15332,1024
6784,512
10352,1024
8372,512
3468,256
15200,1024
3444,256
13716,1024
5704,512
8604,512
9632,1024
15520,1024
11164,1024
15264,1024
13552,1024
6608,512
15800,1024
4748,512
13932,1024
7172,512
14400,1024
6096,512
13888,1024
13620,1024
6612,512
7028,512
9732,1024
2432,256
15136,1024
2712,256
8596,512
25252,2048
5656,512
7292,512
3456,256
16276,1024
3184,256
13552,1024
3032,256
14560,1024
1300,128
15460,1024
11484,1024
15644,1024
15988,1024
12248,1024
17224,1024
16180,1024
21816,2048
13580,1024
6804,512
27612,2048
9552,1024
11276,1024
17240,1024
5456,512
7180,512
11652,1024
10860,1024
2168,128
3200,256
23032,2048
6820,512
3308,256
7036,512
