episode_score,best_tile_score
6984,512
3428,256
11468,1024
3444,256
1564,128
3212,256
6984,512
12120,1024
9416,512
7748,512
12388,1024
7556,512
11284,1024
5336,512
9160,512
3484,256
7104,512
7484,512
12104,1024
11520,1024
6412,512
15076,1024
7000,512
13752,1024
8084,512
12312,1024
7020,512
7456,512
6368,512
3036,256
7060,512
4860,512
5432,512
3672,256
6196,512
6176,512
8876,512
5432,512
7184,512
10612,1024
3988,256
3732,256
2524,256
4064,256
7612,512
5536,512
12464,1024
3088,256
4168,256
3616,256
3776,256
7916,512
3108,256
15592,1024
7344,512
7240,512
3064,256
6520,512
3144,256
7016,512
7328,512
2664,256
11348,1024
12140,1024
4704,256
5964,512
7964,512
10480,1024
5372,512
6532,512
7196,512
7116,512
15520,1024
10448,1024
1376,128
3080,256
2032,256
6692,512
6428,512
12868,1024
7248,512
3272,256
6392,512
10504,1024
6748,512
15348,1024
3064,256
6640,512
6264,512
5368,512
14120,1024
8076,512
5652,512
6368,512
7000,512
3464,256
11476,1024
7512,512
7040,512
8036,512
6040,512
11652,1024
5392,512
7108,512
7120,512
11388,1024
3088,256
12192,1024
7212,512
2576,256
13616,1024
5340,512
13596,1024
8464,512
5500,512
7328,512
10688,1024
7020,512
7344,512
6388,512
1280,128
6816,512
2592,256
8728,512
6972,512
1560,128
3632,256
3168,256
7724,512
7280,512
7332,512
7528,512
8636,512
3524,256
2836,256
1592,128
10984,1024
9832,1024
12020,1024
12144,1024
11844,1024
13956,1024
5692,512
5968,512
3144,256
4516,512
4188,256
14540,1024
9412,512
5320,512
3148,256
11992,1024
7136,512
3152,256
4700,256
7152,512
12656,1024
5236,512
12020,1024
6972,512
7136,512
5588,512
12104,1024
12788,1024
10724,1024
13940,1024
5512,512
3244,256
6440,512
1360,128
7172,512
7236,512
7356,512
5028,256
6048,512
3872,256
7252,512
14976,1024
7732,512
7816,512
11404,1024
11436,1024
6860,512
7680,512
5956,512
12324,1024
7732,512
6248,512
7020,512
7272,512
10728,512
6548,512
10564,1024
7048,512
7356,512
11768,1024
12108,1024
10372,1024
12236,1024
6312,512
14456,1024
5416,512
6696,512
4620,256
3212,256
12532,1024
6404,512
9048,512
11476,1024
12536,1024
15680,1024
5396,512
9928,1024
8604,512
7040,512
5840,512
3180,256
7088,512
5392,512
2008,128
23368,2048
4748,256
7328,512
13560,1024
4032,256
7140,512
3500,256
1304,128
6964,512
12416,1024
6336,512
15592,1024
7916,512
5428,512
4932,512
6476,512
3292,256
6532,512
11908,1024
3128,256
5868,512
7416,512
3876,256
6992,512
11316,1024
7064,512
15720,1024
7084,512
5948,512
3084,256
7352,512
5632,512
14248,1024
5300,512
6420,512
6436,512
6844,512
7340,512
3764,256
5412,512
13844,1024
7040,512
2404,256
3372,256
6028,512
9368,512
3176,256
7808,512
6856,512
5452,512
5056,512
7072,512
14240,1024
7864,512
10608,1024
11248,1024
2440,256
8060,512
5256,256
11060,1024
3460,256
7896,512
6852,512
6468,512
7032,512
7888,512
4876,256
13648,1024
3040,256
7944,512
11036,1024
14632,1024
3228,256
12148,1024
6324,512
12280,1024
6440,512
6884,512
6440,512
6392,512
